,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lake City,30.19,-82.64,77.0,88,90,3.49,US,1595445985
1,Necochea,-38.55,-58.74,48.0,98,100,23.0,AR,1595446244
2,Klyuchi,52.27,79.17,60.15,71,0,5.37,RU,1595446244
3,Laguna,38.42,-121.42,79.0,44,1,13.87,US,1595445838
4,Stykkisholmur,65.08,-22.73,48.99,72,27,6.62,IS,1595446244
5,Kruisfontein,-34.0,24.73,55.06,82,0,4.54,ZA,1595445866
6,New Norfolk,-42.78,147.06,42.01,87,6,1.99,AU,1595445818
7,Butaritari,3.07,172.79,83.21,75,93,15.64,KI,1595445818
8,Beloha,-25.17,45.05,60.28,74,0,8.77,MG,1595446245
9,Bakchar,57.02,82.07,42.89,92,1,4.9,RU,1595446245
10,Dikson,73.51,80.55,40.23,92,3,5.93,RU,1595446246
11,East London,-33.02,27.91,63.59,62,0,5.93,ZA,1595446246
12,Clyde River,70.47,-68.59,46.4,93,90,3.36,CA,1595446246
13,San Jose,37.34,-121.89,77.0,46,20,5.82,US,1595446046
14,Punta Arenas,-53.15,-70.92,28.4,92,40,10.29,CL,1595446247
15,Mataura,-46.19,168.86,39.0,83,94,3.0,NZ,1595446247
16,Marsh Harbour,26.54,-77.06,84.2,74,99,17.52,BS,1595446247
17,Shankargarh,25.18,81.62,88.83,60,81,3.04,IN,1595446248
18,Saskylakh,71.92,114.08,44.49,92,100,12.5,RU,1595446248
19,Doha,25.29,51.53,100.0,53,0,9.17,QA,1595446063
20,Lorica,9.24,-75.81,84.2,79,90,5.82,CO,1595446249
21,Busselton,-33.65,115.33,57.99,54,33,20.78,AU,1595446249
22,Kyela,-9.58,33.85,66.63,78,28,1.5,TZ,1595446249
23,Comodoro Rivadavia,-45.87,-67.5,41.0,80,40,3.36,AR,1595446202
24,Kapaa,22.08,-159.32,82.99,100,90,6.93,US,1595446250
25,Ushuaia,-54.8,-68.3,39.2,60,96,3.36,AR,1595446250
26,Bluff,-46.6,168.33,39.0,83,98,3.0,NZ,1595446251
27,Prince George,53.92,-122.75,70.0,63,90,3.42,CA,1595446008
28,Nanortalik,60.14,-45.24,54.75,61,84,11.92,GL,1595446251
29,Chokurdakh,70.63,147.92,77.2,47,87,4.56,RU,1595446251
30,Yellowknife,62.46,-114.35,63.0,100,90,8.05,CA,1595446252
31,San Angelo,31.46,-100.44,98.6,32,20,5.82,US,1595446252
32,Hobart,-42.88,147.33,43.0,75,1,1.12,AU,1595446147
33,Berlevåg,70.86,29.09,48.2,100,75,14.99,NO,1595446252
34,Calbuco,-41.77,-73.13,55.4,58,100,8.05,CL,1595446253
35,Cape Town,-33.93,18.42,57.0,93,0,4.7,ZA,1595446253
36,Port Alfred,-33.59,26.89,62.69,81,0,8.21,ZA,1595446254
37,Vaini,-21.2,-175.2,59.0,93,40,3.36,TO,1595446254
